Room / Area,Item,Notes,Min Quantity per home,Min Quantity per Bedroom,Min Quantity per Bath,Quantity per window,Required,Affiliate URL,Cost,Cost Each,Number in Pkg,Required Cost,Optional Cost,tenant_types,climate_zones
Bedroom,Queen or full bed frame,"Metal frame, fast setup under 10 min, no tools. 200+ in service with zero structural failures. Avoid wood slat frames break under heavy turnover.",,1,,,Yes,https://amzn.to/4vhvvZb,$98.10 ,$98.10,1,$98.10,,,
Bedroom,Mattress,Box-in-a-box style for easy transport into small/upstairs rooms. Foam design minimizes noise. Multiple in service with no comfort complaints.,,1,,,Yes,https://amzn.to/3NVrx7Z,$210.00 ,$210.00,1,$210.00,,,
Bedroom,Mattress protector,"Full encapsulation style -  protects against spills, stains, and bed bugs. Essential in co-living where turnover is high.",,1,,,Yes,https://amzn.to/3PXHATn,$160.00 ,$16.00,10,$16.00,,,
Bedroom,Pillow set (2),"Standard, 20x28",,1,,,Yes,https://amzn.to/4tbX6K8,$29.00 ,$14.50,2,$14.50,,,
Bedroom,Pillow set (2),Pillow protectors,,1,,,Yes,https://amzn.to/41YWJX3,$16.00 ,$4.00,4,$4.00,,,
Bedroom,Bedding set (sheets + duvet),"Neutral color, commercial-grade preferred",,2,,,Yes,https://amzn.to/4effkWf,$42.00 ,$42.00,1,$42.00,,,
Bedroom,Dresser / chest of drawers,"Pair with hanger bar for full storage. Do NOT use fabric wardrobes, they collapse quickly and create negative tenant experience.",,1,,,Yes,https://amzn.to/4t32SNR,$20.00 ,$20.00,1,$20.00,,,
Bedroom,Nightstand,Tall enough to pair with platform beds. Built-in outlets reduce extension cord mess and tenant clutter.,,1,,,Yes,https://amzn.to/3Qzap8F,$90.00 ,$45.00,2,$45.00,,,
Bedroom,Bedside lamp,Model with built-in outlets doubles as lighting and charging station. Get long-cord option for flexible placement.,,1,,,Yes,https://amzn.to/4vmFOLC,$27.00 ,$13.50,2,$13.50,,,
Bedroom,Clothes hanger / closet organizer,"Free standing. Lightweight but durable extends dresser utility in rooms without closets. Laundry, rear entry, bedroom",,1,,,No,https://amzn.to/4c4SfEj,$80.00 ,$80.00,1,,$80.00,all,
Bedroom,Coat hook (in-room),"Install into studs for long-term performance and to avoid wall repairs. Laundry, entry, bedroom",,2,,,Yes,https://amzn.to/4cfiF56,$14.99 ,$0.94,16,$1.88,,,
Bedroom,Folding desk,Folding Desk Writing Computer Desk for Home Office. Space saving value.,,1,,,Yes,https://amzn.to/4mr0EWe,$78.00 ,$78.00,1,$78.00,,,
Bedroom,Office chair,Low-cost but sturdy. Available in multiple colors for room differentiation. Inexpensive to replace if damaged.,,1,,,Yes,https://amzn.to/4vlr0wZ,$39.00 ,$39.00,1,$39.00,,,
Bedroom,Wall mirror,Simple and functional. Improves tenant satisfaction at low cost.,,1,,,Yes,https://amzn.to/423fMQ2,$43.00 ,$43.00,1,$43.00,,,
Bedroom,Ceiling fan,Adds airflow and lowers AC demand. Choose model with easy bulb replacement.,,1,,,Yes,https://amzn.to/4taj3cm,$145.00 ,$145.00,1,$145.00,,,
Bedroom,Smart TV ,Built-in apps eliminate need for cable. 32 inch smart TV.,,1,,,Yes,https://amzn.to/4ehv4Ij,$145.00 ,$145.00,1,$145.00,,,
Bedroom,TV wall mount,Install into studs.This swivel TV mount is an ideal choice for most 26 to 65 inch flat and curved TVs.,,1,,,Yes,https://amzn.to/4msbv26,$23.00 ,$23.00,1,$23.00,,,
Bedroom,Curtain rod,Optional curtain rods. Match to window width.,,,,1,No,https://tinyurl.com/42n4d9he,$20.00 ,$20.00,1,,$20.00,all,
Bedroom,Blackout drapes,Optional: Available in multiple colors for room style. Cost depends on color.,,,,1,No,https://amzn.to/4sEB95m,$23.95 ,$23.95,1,,$23.95,"nurses,trades",
Bedroom,Blinds,Optional window blinds. Drapes not needed. Black out style. Match to window width.,,,,1,No,https://tinyurl.com/42n4d9he,$20.00 ,$20.00,1,,$20.00,all,
Bedroom,Register booster fan,Optional: Solves hot/cold spots in rooms farther from HVAC. Improves tenant comfort without expensive HVAC work.,,1,,,No,https://amzn.to/421jslj,$59.99 ,$59.99,1,,$59.99,"nurses,trades",cold
Bedroom,Trash bin,6 gallon trash can,,1,,,Yes,https://amzn.to/3Od6YUC,$37.99 ,$12.66,3,$12.66,,,
Bedroom,Door lock / smart lock,Sifely smart lock - Deadbolt version Keyless Sifely Entry Keypad Smart Door Lock with Handle & Knob,,1,,,Yes,https://amzn.to/3Q6xUWz,$55.96 ,$55.96,1,$55.96,,,
Bedroom,Door chain,Additional tenant safety beyond smart lock. Low-cost and easy to install. Small detail that improves tenant perception of safety.,,1,,,No,https://amzn.to/3Q3T8EI,$4.99 ,$2.50,2,,$5.00,all,
Bedroom,Door number / room identifier,Reduces tenant confusion and supports smoother maintenance/vendor visits. Inexpensive but professional.,,1,,,Yes,https://amzn.to/4t5UZat,$8.98 ,$8.98,1,$8.98,,,
Bedroom,Door stop,Prevents wall holes from door handles common damage during tenant turnover.,,1,,,Yes,https://amzn.to/3QxFppA,$7.99 ,$2.00,4,$2.00,,,
Bedroom,Rolling / foldable shelving unit,"Optional: foldable Storage Shelves with Wheels, Large Capacity Shelving Unit, Freestanding Metal Wire Shelf Rack",,As needed,,,No,https://amzn.to/4mmubQK,$114.18 ,$57.09,2,,$57.09,students,
Bedroom,Fabric storage cubes,Optional: lightweight and collapsible. Flexible storage alternative to bulky furniture.,,As needed,,,No,https://amzn.to/4ck8hJn,$19.94 ,$3.32,6,,$3.32,students,
Bedroom,USB wall charger plug,Optional: Dual-USB with built-in safety protection. Especially useful since WiFi gateways don't include wall plugs.,,1,,,Yes,https://amzn.to/3OBBN5o,$12.99 ,$2.17,6,$2.17,,,
Bedroom,Surge protected power strip ,Optional: Power strip surge protector with outlets and USB charging ports can power up to 12 devices.,,1,,,Yes,https://amzn.to/4sywEJr,$11.99 ,$11.99,1,$11.99,,,
Bedroom,Under bed storage,Optional: Depending on the bed - great use of dead space,,1,,,Yes,https://amzn.to/4vtgYJW,$19.99 ,$10.00,2,$10.00,,,
Bedroom,Extra blanket / throw,Warm extra layer for cold climates. Washable.,,,,,No,,$20.00 ,$20.00,1,,$20.00,,cold
Bedroom,Draft stopper,Door draft blocker — reduces heat loss in cold rooms.,1,,,,No,,$15.00 ,$15.00,1,,$15.00,,cold
Bedroom,Tower / portable fan,Supplements AC. Tower fan is quieter than box fans.,,1,,,No,,$45.00 ,$45.00,1,,$45.00,,hot
Bedroom,Cooling mattress pad,Draws heat away from the body. Cold-side tech.,1,,,,No,,$60.00 ,$60.00,1,,$60.00,,hot
Bedroom,Monitor stand / riser,Raises laptop or monitor to ergonomic height.,,1,,,No,,$25.00 ,$25.00,1,,$25.00,"professionals,nomads",
Bedroom,USB-C charging hub,Multi-port hub. Power strip + USB at the desk.,,1,,,No,,$30.00 ,$30.00,1,,$30.00,"professionals,nomads",
Bedroom,Desk lamp (task lighting),Focused task light for desk work. Reduces eye strain.,,1,,,No,,$25.00 ,$25.00,1,,$25.00,"professionals,nomads",
Bedroom,Laptop stand,Portable stand for laptop. Pairs with external keyboard.,,1,,,No,,$35.00 ,$35.00,1,,$35.00,"professionals,nomads",
Bedroom,Ring light,Clip-on ring light for video calls.,,1,,,No,,$20.00 ,$20.00,1,,$20.00,"professionals,nomads",
Bedroom,White noise machine,Masks daytime noise for shift workers sleeping days.,,1,,,No,,$40.00 ,$40.00,1,,$40.00,"nurses,trades",
Bedroom,Eye mask and earplugs kit,Essentials for shift workers. Replace between tenants.,,1,,,No,,$10.00 ,$10.00,1,,$10.00,"nurses,trades",
Bedroom,Mini fridge (bedroom),Compact fridge for meals prepped off-hours.,,1,,,No,,$120.00 ,$120.00,1,,$120.00,"nurses,trades",
Bedroom,Journaling kit,Notebook and pen set. Supports well-being routines.,,1,,,No,,$15.00 ,$15.00,1,,$15.00,sober,
Bedroom,Meditation cushion / yoga mat,Supports mindfulness routines in the room.,,1,,,No,,$30.00 ,$30.00,1,,$30.00,sober,
Shared kitchen,Dining table,"Size to match occupancy, 1 seat per tenant minimum",1,,,,Yes,https://amzn.to/4tBzej3,$446.49 ,$446.49,1,$446.49,,,
Shared kitchen,Folding chairs,Stackable if space is tight,1,,,,No,https://amzn.to/4c4kS4y,$109.99 ,$13.75,8,,,all,
Shared kitchen,Oven / stove range,Gas or electric - stainless preferred for durability and cleaning,1,,,,Yes,https://shorturl.at/2bFjT,$558.00 ,$558.00,1,$558.00,,,
Shared kitchen,Refrigerator,Consider a second mini-fridge for overflow in large homes,1,,,,Yes,https://shorturl.at/2bFjT,$499.00 ,$499.00,1,$499.00,,,
Shared kitchen,Microwave,Over-range or countertop,,1,,,Yes,https://amzn.to/4w0gdIQ,$119.99 ,$119.99,1,$119.99,,,
Shared kitchen,Coffee maker,Single Serve K-Cup Pod Coffee Maker,,1,,,Yes,https://amzn.to/4t6HuHt,$139.99 ,$139.99,1,$139.99,,,
Shared kitchen,Toaster,"Toaster 4 Slice, Retro Stainless with 6 Bread Shade Settings,1.5''Wide Slots Toaster ",,1,,,Yes,https://amzn.to/3Qzexpb,$59.99 ,$59.99,1,$59.99,,,
Shared kitchen,Cookware set (pots & pans),"Non-stick, dishwasher-safe",,1 set,,,Yes,https://amzn.to/4cmwcI0,$129.99 ,$129.99,1,$129.99,,,
Shared kitchen,Utensil set,"Spatulas, ladles, tongs, etc.",,1 set,,,Yes,https://amzn.to/4mvmDLM,$36.99 ,$36.99,1,$36.99,,,
Shared kitchen,Dish set (plates / bowls / mugs),Qty = number of tenants + 2 extra each,,1,,,Yes,https://amzn.to/4msmAjI,$74.72 ,$74.72,1,$74.72,,,
Shared kitchen,Glassware set,Drinking glasses,,1,,,Yes,https://amzn.to/4cq8nz7,$44.99 ,$2.81,16,$2.81,,,
Shared kitchen,Mug set,Drinking mugs,,1,,,Yes,https://amzn.to/421KdGl,$28.99 ,$4.83,6,$4.83,,,
Shared kitchen,Flatware / silverware set,One set per tenant minimum + 2 extra,,1,,,Yes,https://amzn.to/421q3fw,$37.99 ,$37.99,1,$37.99,,,
Shared kitchen,Cutting boards ,Various sizes,,1,,,Yes,https://amzn.to/4ssAxiQ,$23.99 ,$23.99,1,$23.99,,,
Shared kitchen,Knife set with block,Various sizes and uses,,1,,,Yes,https://amzn.to/4t9M6Nh,$39.89 ,$39.89,1,$39.89,,,
Shared kitchen,Dish drying rack,Counter or over-sink,,1,,,Yes,https://amzn.to/4t9622N,$16.97 ,$16.97,1,$16.97,,,
Shared kitchen,Trash can with lid,Trash and/or Recycling bin,,1,,,Yes,https://amzn.to/4moMm8p,$43.99 ,$43.99,1,$43.99,,,
Shared kitchen,Paper towel holder,Standing Paper Roll Holder with Anti Slip Weighted Base,,1,,,Yes,https://amzn.to/4c6jzSz,$11.39 ,$11.39,1,$11.39,,,
Shared kitchen,Cleaning supplies caddy,Keep stocked with supplies,,1,,,Yes,https://amzn.to/4cOzxQf,$25.99 ,$25.99,1,$25.99,,,
Shared kitchen,Fire extinguisher,Mount in several locations around the home. This is required and not optional.,,1,,,Yes,https://amzn.to/4mpoth3,$25.99 ,$13.00,2,$13.00,,,
Shared kitchen,Pantry organizers,This is very useful in a shared kitchen space - plastic individual bins,,2,,,Yes,https://amzn.to/4c56clG,$33.99 ,$8.50,4,$17.00,,,
Shared kitchen,Electric Tea Kettle,This electric tea kettle excels in heating water quietly and quickly. ,,1,,,No,https://amzn.to/4uhplqD,$39.99 ,$39.99,1,,$39.99,all,cold
Shared kitchen,Refrigerator organizers,This is very useful in a shared kitchen space - plastic individual bins,,2,,,Yes,https://amzn.to/4cskFHf,$31.99 ,$3.20,10,$6.40,,,
Shared living room,Sofa / couch,"Stain-resistant fabric or leather, no light colors",,1,,,No,https://shorturl.at/C14xs,$130.00 ,$130.00,1,,$130.00,all,
Shared living room,Coffee table,"Durable surface, easy to clean",,1,,,No,https://shorturl.at/c9qLD,$123.00 ,$123.00,1,,$123.00,all,
Shared living room,Smart TV + wall mount,55-inch minimum for shared living. Built-in apps eliminate cable costs. Wall mount install into studs.,,1,,,Yes,https://amzn.to/3Owx0Ci,$249.99 ,$249.99,1,$249.99,,,
Shared living room,Floor lamp ,Optional: Warm-tone LED,,various,,,Yes,https://amzn.to/4ms4e2g,$67.99 ,$67.99,1,$67.99,,,
Shared living room,Area rug(s),Protects floors and absorbs noise. Dependent of flooring and décor.,,varies,,,No,https://shorturl.at/DvXCT,$22.99 ,$22.99,,,$22.99,all,
Shared living room,Side table(s),Dependent on décor.,,varies,,,No,https://shorturl.at/nAv6C,$20.99 ,$20.99,,,$20.99,seniors,
Shared living room,Storage ottoman,"Optional: Communal items, board games, etc.",,1,,,No,https://amzn.to/4mp13sf,$39.98 ,$39.98,1,,$39.98,"seniors,sober",
Shared living room,Puzzles and board games,Community activities. Popular in senior and sober households.,1,,,,No,,$25.00 ,$25.00,1,,$25.00,"seniors,sober",
Shared living room,Reading chair (accent),Comfortable reading chair for the living area.,1,,,,No,,$150.00 ,$150.00,1,,$150.00,"seniors,sober",
Shared bathroom(s),Shower curtain rod,Easy-to-assemble rod viable for many shower sizes. Or add a curved rod for more space.,,,1,,No,https://amzn.to/4tGai9J,$29.99 ,$29.99,1,,$29.99,all,
Shared bathroom(s),Shower curtain + liner,Replace liner between tenants,,,1,,No,https://amzn.to/4cChNc2,$28.99 ,$28.99,1,,$29.99,all,
Shared bathroom(s),Bath mat (2 per bathroom),"Non-slip, washable",,,2,,Yes,https://amzn.to/3QinJhE,$9.39 ,$9.39,1,$18.78,,,
Shared bathroom(s),Toilet brush + plunger set,"toilet brush, a powerful toilet plunger and a two-compartment steady holder.",,,1,,Yes,https://amzn.to/4vvahaw,$38.99 ,$19.50,2,$19.50,,,
Shared bathroom(s),Toilet paper holder,Freestanding roll holder preferred wall-mounted holders break frequently.,,,1,,Yes,https://amzn.to/4tcx8WI,$23.47 ,$23.47,1,,$23.47,,
Shared bathroom(s),Do Not Flush sign,The sign reminds users not to flush items like bathroom wipes or feminine hygiene products,,,1,,Yes,https://amzn.to/41t8y7W,$9.95 ,$4.98,2,,$4.98,,
Shared bathroom(s),"Towel bars, robe hooks, etc.",Varies depending on décor,,,1,,Yes,https://amzn.to/4ueOa6H,$31.34 ,$31.34,1,$31.34,,,
Shared bathroom(s),Over-door hook organizer,Optional: Adds per-tenant storage without drilling,,,1,,No,https://amzn.to/4mpmidt,$19.98 ,$19.98,1,,$19.98,seniors,
Shared bathroom(s),Vanity mirror (if not built-in),Optional: 10X wall-mounted magnifying mirror is perfect for detailed makeup application,,,1,,No,https://amzn.to/47Yyzj3,$24.99 ,$24.99,1,,$24.99,all,
Shared bathroom(s),Trash bin,1.3 Gallon,,,1,,Yes,https://amzn.to/4dITAC6,$24.99 ,$24.99,1,$24.99,,,
Shared bathroom(s),Cleaning supplies (initial stock),"Toilet bowl cleaner, scrubber, surface spray",,,1,,Yes,,$20.00 ,$20.00,1,$20.00,,,
Shared bathroom(s),Grab bar (bathroom),Installed grab bar for safety. Mount to studs.,1,,,,No,,$35.00 ,$35.00,1,,$35.00,seniors,
Shared bathroom(s),Extra non-slip bath mat,Additional bath mat for safer footing.,1,,,,No,,$12.00 ,$12.00,1,,$12.00,seniors,
Laundry area,Washer,Front-load or top load,,1,,,Yes,https://ziply.pk/8aCT21,$488.00 ,$488.00,1,$488.00,,,
Laundry area,Dryer,Or washer/dryer combo unit if space limited,,1,,,Yes,https://ziply.pk/ZS3muE,$488.00 ,$488.00,1,$488.00,,,
Laundry area,Laundry detergent (starter stock),,,1,,,Yes,https://amzn.to/3OoEdEi,$27.24 ,$27.24,1,$27.24,,,
Laundry area,Dryer sheets or wool dryer balls,,,1,,,Yes,https://amzn.to/4chbyJh,$9.97 ,$9.97,1,$9.97,,,
Laundry area,Laundry hampers / bags,One per tenant room ,,1,,,Yes,https://amzn.to/4cJBL3J,$11.99 ,$6.00,2,$6.00,,,
Laundry area,Ironing board,Wall-mount board saves floor space,,1,,,Yes,https://amzn.to/4cfU8wM,$49.99 ,$49.99,1,$49.99,,,
Laundry area,Iron ,"From shirts and pants to curtains and drapes, ironing made simple",,1,,,Yes,https://amzn.to/47UtDvv,$19.99 ,$19.99,1,$19.99,,,
Laundry area,Drying rack (foldable),For delicates,,1,,,No,https://amzn.to/47R2jOQ,$39.32 ,$39.32,1,,$39.32,all,
Tech & safety,WiFi mesh network,One set of rockspace dual-band mesh WiFi system works together to create a seamless signal coverage of up to 6000 sq. Ft,,1 system,,,No,https://amzn.to/4w4TV8E,$300.00 ,$300.00,1,,$300.00,"professionals,nomads",
Tech & safety,WiFi gateway / router,Varies with the system preferred,,1,,,No,https://amzn.to/48CvSUC,$160.00 ,$160.00,1,,$160.00,"professionals,nomads",
Tech & safety,Batteries (bulk pack),"Keep stocked for locks, remotes, smoke detectors.",,1 bulk pack,,,Yes,https://amzn.to/3Ow5qFj,$19.95 ,$19.95,1,$19.95,,,
Tech & safety,Key lockbox / keybox,Stores backup key securely. Essential for emergency access without tenant involvement.,,1,,,No,https://amzn.to/4cCDIQm,$18.99 ,$9.50,2,,$9.50,all,
Tech & safety,Non-smart punch-code lock,For utility rooms and cabinets not tenant areas. Allows vendor/cleaner access by code.,,As needed,,,No,https://amzn.to/48C3kKH,$34.00 ,$34.00,,,$34.00 ,all,
Tech & safety,Smoke detectors,Advanced sensing technology complies with new industry standards to reduce cooking nuisance alarms and provides early warning in the event of a home fire emergency ,,Per code,,,Yes,https://amzn.to/4mspbKn,$46.99 ,$15.66,3,$15.66,,,
Tech & safety,Carbon monoxide detector,"Easy Installation - simply plug-in to a standard, 120V outlet in your home",,Per code,,,Yes,https://amzn.to/48OxSJF,$27.94 ,$27.94,,$27.94,,,
Tech & safety,Smart thermostat, Automatically adjusts the temperature when you're away to never heat or cool an empty home,,1,,,Yes,https://amzn.to/4tINwOA,$199.99 ,$199.99,1,$199.99,,,
Tech & safety,Thermostat lockbox,"The thermostat lock box with key prevent unauthorized adjustments, tampering and damage to thermostat settings by children, tenants, or the public.",,1,,,Yes,https://amzn.to/4cAVyDn,$13.91 ,$13.91,1,$13.91,,,
Tech & safety,Noise monitor,"Optional: Never in bedrooms. Accurately tracks sound levels to help maintain a calm, secure, and well-managed property environment.",,1,,,No,https://amzn.to/4edbpcw,$174.95 ,$174.95,1,,$174.95,professionals,
Tech & safety,Security camera (exterior only),Never inside legal and trust issue,,As needed,,,No,https://amzn.to/4dJvQh6,$99.99 ,$50.00,2,,$50.00,all,
Tech & safety,First aid kit,Mounted in kitchen or common hallway,,1,,,Yes,https://amzn.to/3Q1Pf32,$42.95 ,$42.95,1,$42.95,,,
Common area ,Mop + bucket,Or spray mop for hard floors,,1,,,Yes,https://amzn.to/41tObrc,$32.20 ,$32.20,1,$32.20,,,
Common area ,Broom + dustpan,cleanup and spills,,1,,,Yes,https://amzn.to/4swf34P,$25.99 ,$25.99,1,$25.99 ,,,
Common area optional,Entryway shoe rack or bench,Sets tone at the front door,,1,,,Yes,https://amzn.to/4tM4HyQ,$37.99 ,$37.99,1,$37.99 ,,,
Common area optional,Coat hooks (entryway),One per tenant minimum,,As needed,,,Yes,https://amzn.to/4t92wpd,$105.99 ,$105.99,1,$105.99 ,,,
Common area optional,Doormat (exterior),"Heavy-duty, easy to clean",,1,,,Yes,https://amzn.to/4cFMpJG,$45.99 ,$45.99,1,$45.99 ,,,
Common area optional,Vacuum cleaner,Corded upright for shared spaces,,1,,,Yes,https://amzn.to/4c3jmzC,$69.99 ,$69.99,1,$69.99 ,,,
Common area optional,Hallway / stairway lighting,Motion-sensor preferred for energy saving,,As needed,,,Yes,https://amzn.to/3Q0EFJD,$21.99 ,$5.50,4,$5.50 ,,,
Common area optional,Wall art / decor ,"Neutral, durable with frames anchored to wall",,As needed,,,Yes,https://shorturl.fm/hn9LI,$29.00 ,$29.00,1,,$29.00,all,
Common area optional,Whiteboard or corkboard,"House notices, chore chart, operators swear by this",,1,,,No,https://amzn.to/4vvhYgY,$11.95 ,$11.95,1,,$11.95 ,"students,sober",
Common area,Space heater,Portable ceramic heater. For rooms that run cold.,,,,,No,,$45.00 ,$45.00,1,,$45.00,,cold
Common area,Bike hook / storage,Wall-mounted hook for bicycle storage. Students frequently need this.,,1,,,No,,$30.00 ,$30.00,1,,$30.00,students,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Totals:,"$5,516.98","$1,538.44",,
